KH,1,Hoàng Công Bảo,1988-06-12,email3@gmail.com,9123456750,Nam,Hà Nội
KH,2,Trần Quốc Gia,1989-06-13,email4@gmail.com,9123456751,Nam,Hà Tây
KH,3,Trần Công Minh,1990-06-14,email5@gmail.com,9123456752,Nam,Hà Nam
KH,4,Lê Huỳnh Đức,1991-06-15,email6@gmail.com,9123456753,Nam,Hà Bắc
KH,5,Trần Tuấn Anh,1992-06-15,email7@gmail.com,9123456754,Nam,Hà Giang
KH,6,Phùng Quang Ngọc,1993-06-16,email8@gmail.com,9123456755,Nam,Hà Đông
KH,7,Hà Gia Kinh,1994-06-17,email9@gmail.com,9123456756,Nam,Hà Nội
KH,8,Gia Cát Lượng,1995-06-18,email10@gmail.com,9123456757,Nam,Hà Tây
KH,9,Công Tôn Sách,1996-06-18,email11@gmail.com,9123456758,Nam,Hà Nam
KH,10,Triển Chiêu,1997-06-19,email12@gmail.com,9123456759,Nam,Hà Bắc
KH,11,Huỳnh Thánh Y,1998-06-20,email13@gmail.com,9123456760,Nữ,Hà Giang
KH,12,Mỹ Tâm,1999-06-21,email14@gmail.com,9123456761,Nữ,Hà Đông
KH,13,Sơn Tùng MTP,2000-06-21,email15@gmail.com,9123456762,Nam,Hà Nội
KH,14,Hồng Thất Công,2001-06-22,email16@gmail.com,9123456763,Nam,Hà Tây
KH,15,Trương Vô Kỵ,2002-06-23,email17@gmail.com,9123456764,Nam,Hà Nam
KH,16,Trương Thúy Sơn,2003-06-24,email18@gmail.com,9123456765,Nam,Hà Bắc
KH,17,Nguyễn Văn Thiệu,2004-06-24,email19@gmail.com,9123456766,Nam,Hà Giang
KH,18,Ngô Đình Diệm,2005-06-25,email20@gmail.com,9123456767,Nam,Hà Đông
KH,19,Nguyễn Hoàng,2006-06-26,email21@gmail.com,9123456768,Nam,Hà Nội
KH,20,Nguyễn Trung Kiên,2007-06-27,email22@gmail.com,9123456769,Nam,Hà Tây
KH,21,Lê Duy Bảo,2008-06-27,email23@gmail.com,9123456770,Nam,Hà Nam
KH,22,Phạm Ngũ Lão,2009-06-28,email24@gmail.com,9123456771,Nam,Hà Bắc
KH,23,Dương Đăng Thanh,2010-06-29,email25@gmail.com,9123456772,Nam,Hà Giang
KH,24,Phạm Ngọc Lợi,2011-06-30,email2@gmail.com,9123456773,Nam,Hà Đông
KH,25,Phạm Anh Tuấn,2010-06-30,email26@gmail.com,9123456774,Nam,Hà Nội
KH,26,Nguyễn Gia Hưng,2009-06-30,email27@gmail.com,9123456775,Nam,Hà Tây
KH,27,Lê Huyền Trang,2008-06-30,email28@gmail.com,9123456776,Nữ,Hà Nam
KH,28,Phạm Hà Vân,2007-06-30,email29@gmail.com,9123456777,Nữ,Hà Bắc
KH,29,Võ Hạnh Phúc,2006-06-30,email30@gmail.com,9123456778,Nữ,Hà Giang
KH,30,Vũ Trung Hiếu,2005-06-30,email31@gmail.com,9123456779,Nam,Hà Đông
